cn_kodu,ulke,sektor,aciklama,dogrudan,dolayli,toplam,rota,kaynak_belge,kaynak_yeri,durum
2507008080,Turkiye,Cement,Calcined clay,,,,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
2523100010,Turkiye,Cement,White clinker,,,,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
2523100090,Turkiye,Cement,Other clinker including grey clinker,,,,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
25232100,Turkiye,Cement,White Portland cement,,,,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
25232900,Turkiye,Cement,Grey Portland cement,,,,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
25233000,Turkiye,Cement,Aluminous cement,1.820,0.140,1.950,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
2523900010,Turkiye,Cement,White hydraulic cement,,,,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
2523900090,Turkiye,Cement,Other hydraulic cements including grey hydraulic cements,,,,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
28080000,Turkiye,Fertilisers,Nitric acid; sulphonitric acids,2.680,0.030,2.720,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
28141000,Turkiye,Fertilisers,Anhydrous ammonia,2.170,0.100,2.270,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
28142000,Turkiye,Fertilisers,Ammonia in aqueous solution,0.650,0.030,0.680,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
28342100,Turkiye,Fertilisers,Nitrate of potassium,2.170,0.050,2.220,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
3102,Turkiye,Fertilisers,Mineral or chemical fertilizers; nitrogenous,seebelow,seebelow,seebelow,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
31021012,Turkiye,Fertilisers,Urea in aqueous solution; containing >45% nitrogen in relation to the weight of the dry product and containing =>31;8% but <=33;2 % by weight of urea (excl. that in packages with a gross weight of <= 10 kg),0.480,0.020,0.500,,CBAM-DEFAULT-VALUES-2026-08-06,Turkiye sayfasi,dogrulandi
